F,phi_mean_all,phi_mean_intact,survival,n_intact
602.2867,0.038368,0.037117,0.998700,9987
606.8151,0.038802,0.037455,0.998600,9986
611.3436,0.039315,0.037775,0.998400,9984
615.8721,0.039927,0.038100,0.998100,9981
620.4006,0.040356,0.038433,0.998000,9980
624.9290,0.040875,0.038760,0.997800,9978
629.4575,0.041772,0.039082,0.997200,9972
633.9860,0.042100,0.039411,0.997200,9972
638.5144,0.042710,0.039733,0.996900,9969
643.0429,0.043045,0.040070,0.996900,9969
647.5714,0.043645,0.040383,0.996600,9966
652.0998,0.044250,0.040700,0.996300,9963
656.6283,0.044922,0.040990,0.995900,9959
661.1568,0.045435,0.041312,0.995700,9957
