f,num_active_particles,num_deleted_particles,total_deleted_rods,avalanche_sizes
20104.745248639163,982501,10080,1,"1"
20120.866031002341,982483,10098,1,"1"
20134.22550616023,982465,10116,1,"1"
20135.247929306148,982429,10152,2,"2"
20138.492076793638,982411,10170,1,"1"
20161.709538086674,982397,10184,1,"1"
20188.827105574637,982379,10202,1,"1"
20199.526621205641,982361,10220,1,"1"
20214.311982412768,982343,10238,1,"1"
20248.8042772671,982329,10252,1,"1"
20257.735267830274,982324,10257,1,"1"
20258.058123278057,982318,10263,2,"2"
20266.4914817633,982300,10281,1,"1"
20273.469848680939,982282,10299,1,"1"
20276.503612123321,982279,10302,1,"1"
20284.369790624012,982261,10320,1,"1"
20301.070359071702,982243,10338,1,"1"
20328.955132384064,982225,10356,1,"1"
20353.981342217106,982213,10368,4,"2-2"
20392.073523048704,982197,10384,1,"1"
20396.01500038481,982179,10402,1,"1"
20413.531417615566,982161,10420,1,"1"
20427.984425447572,982143,10438,1,"1"
20430.183659559112,982125,10456,1,"1"
20433.69493100655,982093,10488,8,"5-3"
20451.269584880898,982075,10506,1,"1"
20451.357263475144,982057,10524,1,"1"
20459.591917759095,982045,10536,4,"3-1"
20472.500087522843,982027,10554,1,"1"
20476.023753218389,982021,10560,2,"2"
20482.64288635656,982005,10576,4,"4"
20511.751763121239,981991,10590,2,"2"
20526.072151586646,981984,10597,1,"1"
20534.80108674775,981966,10615,1,"1"
20536.224436139157,981948,10633,1,"1"
20552.538989023487,981930,10651,1,"1"
20559.900923400204,981916,10665,1,"1"
20573.461003350687,981898,10683,1,"1"
20595.054682410566,981893,10688,1,"1"
20610.054881777636,981875,10706,1,"1"
20612.197235553042,981859,10722,1,"1"
20614.496149760569,981853,10728,2,"1-1"
20636.482391670201,981835,10746,1,"1"
20644.545665854537,981817,10764,6,"4-2"
20650.990101646785,981797,10784,4,"2-1-1"
20662.761298155092,981779,10802,1,"1"
20691.8961688784,981774,10807,1,"1"
20697.885271263749,981769,10812,1,"1"
20704.799882580774,981751,10830,1,"1"
20725.184907066494,981732,10849,3,"1-1-1"
20739.73300354023,981714,10867,1,"1"
20741.519924297223,981696,10885,1,"1"
20745.447373499112,981691,10890,1,"1"
20745.89375040324,981677,10904,1,"1"
20794.723754530794,981657,10924,2,"2"
20795.57442954287,981654,10927,1,"1"
20818.28877958563,981649,10932,1,"1"
20822.481979907509,981634,10947,1,"1"
20829.015609949231,981624,10957,1,"1"
20833.412542429531,981606,10975,1,"1"
20841.436748631135,981597,10984,3,"3"
20855.750931938994,981567,11014,3,"3"
20877.221540049388,981555,11026,1,"1"
20880.729990938791,981537,11044,1,"1"
20901.182753016568,981532,11049,1,"1"
20915.253124092393,981527,11054,1,"1"
20933.7671172345,981515,11066,1,"1"
20938.832416754791,981510,11071,1,"1"
20943.931958980589,981492,11089,1,"1"
20957.95189982955,981482,11099,2,"2"
20974.315572039777,981422,11159,5,"2-1-1-1"
20996.997845181122,981404,11177,1,"1"
20998.527830628555,981386,11195,1,"1"
21007.719765325688,981368,11213,2,"2"
21021.86783115361,981357,11224,3,"2-1"
21024.029672953639,981339,11242,1,"1"
21050.777778250333,981293,11288,3,"3"
21062.022040734271,981275,11306,1,"1"
21063.493593462365,981272,11309,1,"1"
21067.984172129098,981254,11327,1,"1"
21076.997799601297,981236,11345,1,"1"
21078.402838597067,981218,11363,1,"1"
21080.224880259313,981213,11368,1,"1"
21094.917178549302,981198,11383,3,"2-1"
21096.34168280636,981188,11393,1,"1"
21107.157261884498,981170,11411,1,"1"
21111.942664910464,981163,11418,1,"1"
21127.583780969158,981153,11428,1,"1"
21133.442216974636,981135,11446,1,"1"
21137.75577085944,981117,11464,1,"1"
21170.53706528369,981112,11469,1,"1"
21200.58431607113,981109,11472,1,"1"
21271.817301866984,981106,11475,1,"1"
21285.91302557322,981088,11493,1,"1"
21286.673656804523,981085,11496,1,"1"
21298.316772263399,981067,11514,1,"1"
21301.170869731854,981058,11523,1,"1"
21343.484102642527,981040,11541,1,"1"
21347.263507563734,981022,11559,1,"1"
21360.963014315741,981017,11564,1,"1"
21376.055019668049,981010,11571,1,"1"
21389.876084537918,981005,11576,1,"1"
21394.797469562753,980987,11594,1,"1"
21403.962303758661,980984,11597,1,"1"
21410.365001281483,980938,11643,8,"2-2-1-1-1-1"
21421.547448360001,980935,11646,1,"1"
21427.517508408277,980917,11664,1,"1"
21433.505859054487,980912,11669,1,"1"
21447.176014107947,980909,11672,1,"1"
21458.750683369075,980906,11675,1,"1"
21464.045050413966,980899,11682,1,"1"
21508.608819464644,980896,11685,1,"1"
21556.355556583279,980878,11703,1,"1"
21570.638154745226,980860,11721,1,"1"
21583.809089684488,980840,11741,2,"1-1"
21589.838101215551,980830,11751,2,"2"
21619.610485808302,980827,11754,1,"1"
21673.786769525879,980824,11757,1,"1"
21695.090425581919,980810,11771,4,"2-1-1"
21695.180983320821,980807,11774,1,"1"
21695.997184985968,980804,11777,1,"1"
21697.055774842756,980795,11786,1,"1"
21699.429896549002,980789,11792,2,"2"
21716.640228179629,980771,11810,1,"1"
21718.243242203996,980764,11817,1,"1"
21721.814242690623,980753,11828,1,"1"
21724.219609524698,980735,11846,1,"1"
21733.136190176891,980707,11874,6,"3-1-1-1"
21734.303367815279,980695,11886,1,"1"
21735.399963196352,980677,11904,1,"1"
21736.126587107989,980659,11922,1,"1"
21742.97371238186,980647,11934,1,"1"
21750.032415263515,980622,11959,7,"4-1-1-1"
21761.07410474167,980605,11976,1,"1"
21769.289205562094,980587,11994,1,"1"
21791.535077789787,980575,12006,1,"1"
21794.292714530497,980563,12018,1,"1"
21809.43430209671,980545,12036,1,"1"
21843.03823031699,980527,12054,1,"1"
21847.512797361778,980522,12059,1,"1"
21868.374124508548,980519,12062,1,"1"
21868.617371265354,980514,12067,1,"1"
21877.921324412087,980496,12085,1,"1"
21880.603623723124,980476,12105,4,"3-1"
21902.375507461024,980440,12141,2,"2"
21904.801799470672,980431,12150,3,"3"
21909.755582944541,980428,12153,1,"1"
21934.333733529129,980416,12165,1,"1"
21972.073379107049,980413,12168,1,"1"
22016.183169582517,980403,12178,2,"2"
22016.453773699013,980385,12196,1,"1"
22027.869412912692,980367,12214,1,"1"
22030.003552397629,980349,12232,1,"1"
22051.18325874372,980331,12250,1,"1"
22070.50160521112,980295,12286,2,"2"
