ts,omitted_seed,xmin,alpha,ks,n_tail
64,2695,6,2.5282095076282403,0.008229023043211714,290055
64,2710,6,2.538375399395756,0.007291061084831463,291601
64,2725,6,2.5305960010236923,0.00784238212551902,288019
64,2740,6,2.5309379900967395,0.007907909195813523,288773
64,2755,6,2.5417989190632713,0.007034802737249213,285669
64,2770,6,2.5333500690054693,0.007646904733323301,289830
64,2785,6,2.5301719907810427,0.007884222074859615,288927
64,2800,6,2.5307350145986836,0.0077028902076276,291190
64,2815,6,2.5360297483144096,0.007876637548084764,289950
64,2830,6,2.5277883573599773,0.007865323992701678,289992
64,2845,6,2.538856046137828,0.007447733077018293,288829
64,2860,6,2.5315911741438373,0.007727264168697956,289918
64,2875,6,2.5293869429788796,0.007787834268899951,292406
64,2890,5,2.564989992695323,0.007368420505198148,403439
64,2905,6,2.538639219032234,0.007798317326677906,291311
64,2920,6,2.5307900342264067,0.007673438072680838,292671
64,2935,6,2.5350066079195184,0.007634444335319013,288630
64,2950,6,2.537921280287861,0.00756749062615758,290140
64,2965,6,2.5422111711252198,0.006475428959759277,290237
64,2980,6,2.5356918090441836,0.007853051467713867,289819
64,2995,6,2.531789488220195,0.00754586878089758,291330
64,3010,6,2.5316701884671007,0.007828350084336355,288758
64,3025,6,2.534445357437757,0.0073979500613141624,291673
64,3040,6,2.5379868138209636,0.007972602214241453,290264
64,3055,6,2.5274947657810816,0.007894297809685091,291623
64,3070,5,2.557334304266539,0.007890258235303427,400957
64,3085,6,2.533515053812418,0.007963237840438397,291348
64,3100,6,2.5356730852947407,0.007669265637447631,290592
64,3115,6,2.5311195225483805,0.00860997871931013,287393
128,3130,7,2.630729398162166,0.0046847004080309285,195146
128,3145,6,2.6412994517931305,0.004983893960261859,257651
128,3160,7,2.6330897438693994,0.004881437383153608,191763
128,3175,6,2.647745388251907,0.004644457189365375,254255
128,3190,6,2.6448208862497844,0.005188673262995963,256709
128,3205,6,2.6469089627696394,0.0046570010197776734,258718
128,3220,6,2.6483652623470273,0.004480282072516717,258297
128,3235,6,2.6468724853166194,0.004727125426530754,255681
128,3250,7,2.6378118309482153,0.004540476098463975,194603
128,3265,7,2.629221730818698,0.0047884397375764776,193074
128,3280,6,2.6436229532977724,0.004970720207952833,256601
128,3295,6,2.6453750520786183,0.004584888298357986,256459
128,3310,6,2.647159466751143,0.004800724800556266,258860
128,3325,6,2.642437373145913,0.004908791771450177,257546
128,3340,6,2.6478663000349716,0.004693557166337986,253303
128,3355,6,2.6416413689096507,0.004749414291469023,256110
128,3370,6,2.644045885708889,0.0048860115818076255,255625
128,3385,6,2.648866057789689,0.0046526603834367575,255783
128,3400,7,2.63618840375579,0.004641699404667077,193568
128,3415,6,2.644792556273637,0.004899968884175959,258013
128,3430,6,2.6434072113888423,0.004580009050860562,258307
128,3445,7,2.630898801270362,0.004723526865453298,195329
128,3460,6,2.6447746874357616,0.00467155276463474,255922
128,3475,6,2.644855870111741,0.0045188757618757625,256815
128,3490,7,2.634546180549614,0.004598376174081875,195187
128,3505,6,2.642802948478712,0.004621100492114283,257852
128,3520,6,2.6418147136393357,0.004860935772043107,258998
128,3535,7,2.6328665362801327,0.005060496651786317,192390
128,3550,6,2.6507462020022894,0.00491065644763064,254939
128,3565,6,2.6431015531393833,0.004648553130633781,258271
128,3580,6,2.648438299000663,0.004623679356705684,256849
128,3595,7,2.630916811414721,0.004774323074433484,193950
128,3610,6,2.646747237388376,0.004828739712722213,257062
128,3625,7,2.6304084210127887,0.005066073190889586,195019
128,3640,6,2.6490350243350127,0.004691270701616679,256269
128,3655,6,2.6440095623115725,0.0045985897688401445,254375
128,3670,6,2.644015736946274,0.004949019488437373,258122
128,3685,7,2.629644040032602,0.004946314695753795,194822
128,3700,7,2.6299528301005357,0.00515262563567187,194543
128,3715,6,2.6409615476081396,0.004895451264319339,255567
128,3730,6,2.643374004552345,0.004754521280867424,255355
128,3745,6,2.6443759547435692,0.004527457497265991,255773
128,3760,6,2.6407897115074603,0.005003986316662129,257940
128,3775,7,2.6296463482808323,0.004890096954969447,192276
128,3790,6,2.644316238484681,0.004797101266120207,257254
128,3805,6,2.6418439481877636,0.004848129868834511,257948
128,3820,6,2.6487664817240466,0.004685697047501242,257670
128,3835,6,2.64017272195848,0.004810515535655424,255699
128,3850,6,2.6465838376179875,0.004831239651607949,253848
128,3865,6,2.6422142260860277,0.004958042099846627,256793
512,3880,6,2.712931517691955,0.0036015618841931385,233434
512,3895,6,2.709468900504763,0.003448427136996779,232845
512,3910,6,2.708160784569967,0.0031885787892587114,236033
512,3925,6,2.7071107229058393,0.003363105035923075,236376
512,3940,6,2.71310957678855,0.0032525476305731438,235631
512,3955,6,2.7060246635995115,0.0035080329497180207,234954
512,3970,6,2.711689821025121,0.0033377189223471326,232583
512,3985,6,2.7103652018504847,0.003335382515258445,235505
512,4000,6,2.7090533012380007,0.003263979454213639,237363
512,4015,6,2.7086853203031787,0.0034572774120085192,236038
512,4030,6,2.711884154657902,0.0033323342972797487,233771
512,4045,6,2.713400297309384,0.003182596610463717,233039
512,4060,6,2.7094002013076883,0.002998047358597433,230411
512,4075,5,2.724206008085177,0.0033953492569786525,331986
512,4090,5,2.72007255486256,0.00327240780062793,330858
512,4105,6,2.7109957179414526,0.0036572597051598432,233548
512,4120,6,2.715548606758945,0.0031233141006716814,233904
512,4135,6,2.711876731552906,0.0030002562362697605,234127
512,4150,6,2.707874786308636,0.0031502555967147794,235672
512,4165,6,2.715802601779873,0.0030438970877185723,234532
512,4180,6,2.7130837128043077,0.003166488601907158,230979
512,4195,6,2.7102800281216304,0.003373610970476615,233150
512,4210,6,2.7109820768146866,0.003064629541913444,233248
512,4225,5,2.72439339813706,0.0030945361877344757,332801
512,4240,5,2.7228893069726587,0.0033663916837367025,331744
512,4255,6,2.7094343155894336,0.003446029444090004,234104
512,4270,6,2.7157355767432576,0.003131861851890849,233681
512,4285,6,2.708330031055938,0.003260448107102909,236853
512,4300,6,2.710429397753417,0.003041529332755033,236445
512,4315,6,2.7112844443439763,0.0034589666879959458,233921
512,4330,6,2.715078094662346,0.0031631120635164933,231832
512,4345,6,2.7114590353339607,0.0031842358860689757,232237
512,4360,6,2.715117042670311,0.003139155599279686,234491
512,4375,6,2.7088260693644304,0.003214680729179964,232443
512,4390,6,2.7082382527662503,0.003192539629225055,231033
512,4405,6,2.715139486166883,0.002669145137566664,235575
512,4420,6,2.7103857056609333,0.0031733226414389915,234470
512,4435,6,2.711697929064049,0.0033665606278203697,236211
512,4450,6,2.7124912864933557,0.002769308957242922,233092
512,4465,6,2.7117753186967,0.0029890894885833408,234279
512,4480,6,2.7103781701122176,0.0034767038996001975,233038
512,4495,6,2.7137669776107685,0.003058805195094383,233205
512,4510,5,2.7188914823621926,0.003580531534912834,330544
512,4525,6,2.7077216717603334,0.0032358037428336095,235354
512,4540,6,2.711866803533267,0.003346867940999365,234768
512,4555,6,2.7097318976766243,0.003377428965956386,234776
512,4570,6,2.71104939401897,0.0035572003664803287,231666
512,4585,6,2.7114658503450637,0.0029872951066750586,234294
