ts,replicate,xmin,alpha,ks,n_tail,tail_fraction,centered_ks
64,1461,5,2.552022268875176,0.009958293875557245,427084,0.011970923720440122,0.009605338438149869
64,1462,5,2.537942109154223,0.0080464938613799,428820,0.012086444033552073,0.005910657754019943
64,1463,5,2.5546951293350944,0.006014147757969435,401306,0.01124780365602808,0.004765759927125246
64,1464,5,2.510976775453819,0.008304097993004134,391778,0.011456776751087402,0.0031451122663203046
64,1465,5,2.519828516392811,0.010574549077444706,395082,0.011869001708991805,0.008546934612779
64,1466,5,2.5638625164931375,0.007050689176443248,425668,0.011862661135098167,0.003966197278395089
64,1467,6,2.5436386244270883,0.006528040289152326,302544,0.008386388351506605,0.002585133943133755
64,1468,5,2.5820553475765675,0.008880387501373765,399591,0.011276520420881052,0.003639694137527183
64,1469,5,2.5416420699987907,0.008171425426956147,436763,0.012277458192317769,0.010362181644376467
64,1470,5,2.506378202587784,0.006921525051818367,423018,0.011833712033304411,0.006197106277741504
64,1471,5,2.534143058476811,0.008954003550285472,395418,0.011396565656880074,0.005534515917258176
64,1472,7,2.5466993979896806,0.005125216810379696,225756,0.006305672088292593,0.006159078263821116
64,1473,5,2.539430196591066,0.007740231542150422,430608,0.012098273693267428,0.006698429550095086
64,1474,8,2.4670024472909726,0.009018030654723175,168660,0.004850398591986748,0.011390468025035905
64,1475,6,2.564770384507315,0.0072131357308670985,298254,0.008151746560364397,0.004245909389279379
64,1476,5,2.5666362957688884,0.008004348714364007,413915,0.0116544104572905,0.006211225605582293
64,1477,5,2.5513625085328737,0.007401153167800545,393167,0.011378094652219981,0.003576707500496018
64,1478,6,2.5203730301799268,0.011047126675395869,282983,0.008081206208761063,0.007520856790984298
64,1479,5,2.5384949292537833,0.007256029463457603,416564,0.011859665765394626,0.006018520424016738
64,1480,5,2.542219468111262,0.00937454724286646,415610,0.011587723297736514,0.004230967367235716
64,1481,1,3.637819039759078,0.011512800222360897,34525444,1.0,0.005398404380883903
