replicate,alpha,beta,maximum_centered_ks,scale_ts_512,centered_ks_ts_512,scale_ts_1024,centered_ks_ts_1024,scale_ts_4096,centered_ks_ts_4096,scale_ts_8192,centered_ks_ts_8192
251,2.62650189449822,3.4971931914612515,0.012242838543213619,249.2446156894264,0.004246141757600241,242.3555239955275,0.012242838543213619,228.40231632648099,0.0031289972492500873,267.4474656017859,0.010885983595710358
252,2.659065479370015,3.3727380828930964,0.006636961143460796,269.1633501156564,0.005541791978898369,243.85338546190155,0.003059521924137276,253.0578001852314,0.006636961143460796,267.3428360705978,0.004497501657628189
253,2.662187858831197,3.7021309400800995,0.008254861656390111,273.71473429801443,0.0024226545109430897,260.5809505507164,0.0030434465239226327,268.8743622322878,0.0029704770843768658,294.8705623986738,0.008254861656390111
254,2.638699147584205,3.3111883341072885,0.009755049489016954,246.12310423084287,0.004508575703757067,235.8674297362495,0.0011622423957784733,233.76631869803407,0.009755049489016954,264.8626973999806,0.007827653350302444
255,2.663954069660179,3.1438032457926695,0.0070950641442221185,281.4239604350922,0.004675405246103659,253.96431173340488,0.00406527348924568,231.32430605143932,0.002451947234583751,276.25255570451424,0.0070950641442221185
256,2.6823862695612704,3.78567985067294,0.006755253404058248,281.81572037646623,0.0018068650771544403,239.7666068516064,0.006755253404058248,251.1920920771261,0.004635149519517989,270.29217679976813,0.005431176421267003
257,2.640981823529466,3.074088105328272,0.008477493750896903,243.29170116800856,0.002069498067413411,227.70995986345875,0.0056371956375526056,233.3821956292089,0.008477493750896903,278.6216426354504,0.0030943307969659717
258,2.629536962612465,3.311631237327435,0.010533794799448715,239.0777070762876,0.0027890597328164013,236.45912530709495,0.006451819425124183,239.1156598230534,0.00934034204673062,290.987666831541,0.010533794799448715
259,2.672430071990989,3.3771639090849206,0.006879936700756151,272.0030545346245,0.004496930258313436,252.03289873061595,0.0067069947572000466,230.52781816860403,0.006879936700756151,294.3841426384563,0.005174774984428143
260,2.654561446156822,3.3690894820972885,0.006408240130612475,271.2496955023117,0.002802593620938376,223.40779289904683,0.003839465896720351,233.3698984914172,0.0040933666661118195,293.1880400634617,0.006408240130612475
261,2.6796241771772444,3.7244240076694766,0.006734598469105291,287.52416673069683,0.0032156309949314954,252.8131610804127,0.005146706427683223,251.88922630710982,0.0022236317370752934,273.0327433088975,0.006734598469105291
262,2.6678833044536576,3.792352274398713,0.006479343553945083,271.6380814192567,0.0022092833155228364,272.5102781254166,0.0023224056183113184,270.0202078575761,0.005096217804396008,265.81903839273014,0.006479343553945083
263,2.6385369896565294,3.597875078971514,0.009387859664553133,277.1197290564458,0.009387859664553133,247.95843641533983,0.0017501478533937798,253.775801483155,0.007987792343016276,290.3234418288933,0.002917444418095827
264,2.6814018016907175,3.315099067365779,0.014096522324495098,260.11514199818185,0.008410731945415861,261.7944156475865,0.004394536987827324,236.42734475547024,0.0037635883621869315,267.925427743625,0.014096522324495098
265,2.6652217692494307,3.607437642427975,0.009998478306824432,275.3155753767591,0.0016295199448569386,243.94158290048793,0.004558051607510993,260.80710140318655,0.008666246754098217,286.3756396349712,0.009998478306824432
266,2.673260253921976,3.3480320481186947,0.014366604923408355,259.0957121570287,0.004394629322098442,224.01418282284916,0.014366604923408355,264.24408837145666,0.006096385870774046,307.21366672354327,0.013139468440162339
267,2.6332761677116707,3.544230638294359,0.01036102774417369,272.96488625151613,0.0031095086166108565,219.25466431553306,0.004614868045143439,243.00005664832295,0.009586564885055493,279.0123094109466,0.01036102774417369
268,2.665962672459116,3.4260473563710887,0.010610547414242055,269.0122401848008,0.006938695990395649,251.19744071388473,0.007290839549578099,242.54912788919415,0.010610547414242055,263.48851023357025,0.010180081925311169
269,2.645942849191613,3.1160960922661936,0.011451806444362389,273.9649111453775,0.004508081405795505,207.56201386719144,0.006755838299729033,202.0184259522256,0.011451806444362389,269.21667758286804,0.005941574699898644
270,2.6371120121614373,3.4954672177208117,0.009273818412185053,267.710483501201,0.005472912857395373,253.93611172685485,0.009273818412185053,226.80220179188262,0.0034440305569782836,292.7195718053533,0.0032596379551713683
271,2.646682494786542,3.495552032286765,0.010599417051881721,270.77015331438446,0.009302418508335075,267.01836744769633,0.0035697236163100277,258.7314765706596,0.010599417051881721,298.5273380574333,0.006102688712550264
272,2.657442639931391,3.7325785712668247,0.009538917806619973,284.08129826254344,0.006522265701952579,248.72321437270202,0.003813385072818587,237.19954377127402,0.004685752693062262,288.7095053937574,0.009538917806619973
273,2.662796387610501,3.3500470060882845,0.008414978762577685,263.76870571237515,0.0062078461553524145,246.89728131247722,0.006689291611044701,227.4840933700766,0.0030562088011705235,260.55570265823593,0.008414978762577685
274,2.679030636584672,3.6388475555599555,0.005101249721200629,280.1762920528108,0.004568541680662674,241.68922067041967,0.0033001371721540496,257.80038294200324,0.0024484400385899052,261.8990271259837,0.005101249721200629
275,2.625902273987651,3.1193297452760693,0.010871049062631588,247.7969575251301,0.009295670146653445,231.96854289559192,0.006575773223544523,218.80720988933754,0.004770182949584978,295.8109236145924,0.010871049062631588
276,2.659996084151924,3.347803678764031,0.007540794376522109,265.7269994298161,0.0033350919299356407,253.63818392509364,0.0073088279005392165,249.30657862586713,0.004501736797505429,289.48934480350357,0.007540794376522109
277,2.6461245125030923,3.6759007475142327,0.005304875620288252,272.46523796682544,0.005304875620288252,261.1506287335841,0.0013098168716778602,261.93551500431346,0.004428548249872932,293.9638699440922,0.002985218017831026
278,2.657472212213435,3.6782626739485296,0.012332631311762432,265.23019473594655,0.002968067307068223,249.31825223708074,0.006293015851717598,260.5128130074685,0.005388289654094935,292.53641548551883,0.012332631311762432
279,2.6578821311347736,3.431492611693627,0.007068951232018672,270.5235933211557,0.003404346249493262,243.33689514529962,0.0043885748000762614,253.40102213235264,0.007068951232018672,284.22949395125653,0.002568677496167293
280,2.6563639905186873,3.2063014321404744,0.01176127895347967,265.6569488202063,0.00411928643219972,257.6164729988592,0.004145845742641319,231.91771115302188,0.01176127895347967,287.69891712843304,0.008147362436983996
281,2.647660959660011,3.477777280255434,0.004454253663351726,267.9122453337527,0.002944119559053382,248.95042772373847,0.004454253663351726,225.744203919306,0.0033152599531976468,298.93995424418034,0.00317274648340371
282,2.6400275064100254,3.6921207965167007,0.007290025162487779,273.4788677093352,0.006598582912694939,257.2466831591247,0.006110625052482943,231.4461893109507,0.004040710039847295,264.74613869896115,0.007290025162487779
283,2.643204659966606,3.496362398662863,0.006486290574268083,274.0570108670492,0.005616178714647702,241.98912152058244,0.005823024926624232,261.7661851779098,0.00349945164637,295.2140302410064,0.006486290574268083
284,2.643825392787846,3.4602830499888553,0.01025584907035293,262.18147417541536,0.004802129143743561,251.736319598611,0.01025584907035293,238.060957430348,0.00614216292154296,288.15295060096594,0.004391024268713184
285,2.675436077097429,3.405068315063528,0.01202628119860949,283.0666074859061,0.003321997515370101,234.75783835072698,0.010092232745560703,233.46082172328562,0.006438890344351078,304.23180050746413,0.01202628119860949
286,2.6548354458683407,3.4237918730798973,0.009071947942121683,258.36318023980186,0.0014994935982081126,258.807049601566,0.005887966045912907,265.60620622817447,0.009071947942121683,277.2798235659084,0.002618810642661118
287,2.6602266721419205,3.126356580775899,0.008657114364129304,269.8784558827796,0.005611570742222849,262.1837081097014,0.008657114364129304,227.72245984178667,0.005699257358971643,276.1093581517475,0.0025971692995827578
288,2.653108000727811,3.4488562525324373,0.007834228873655369,267.49483083705366,0.0010186252096384407,253.94775804151854,0.007834228873655369,236.29042207518646,0.001651209558344524,263.6634901473155,0.006191363479812306
289,2.633226609724156,3.468624394515612,0.0059478862078906625,266.7753919298889,0.005689383939971315,253.49649761150187,0.0030124266670987776,222.03170170645146,0.0018449130205803188,273.73764437015967,0.0059478862078906625
290,2.6551076213390408,3.3340065704547874,0.009768239434490122,247.40882466818724,0.004156623360915934,246.3873332018487,0.009768239434490122,230.6795224283209,0.00367079127524228,249.4384438856397,0.006589103820852871
291,2.6549652837500624,3.8302876104832912,0.005358385193255599,268.22912282944213,0.004428617878900476,217.9829815170991,0.004774786003932108,249.76324536047633,0.005358385193255599,260.0247918931014,0.004387280066652621
292,2.6809322812224172,3.648414550816835,0.009693417233775814,278.76628027273574,0.00719278298941195,235.05178025625793,0.009693417233775814,255.855113692961,0.0071099606683934224,261.40629699503614,0.007716153562775996
293,2.660879627378704,3.479679638313214,0.004521874165160145,272.6961542609301,0.004521874165160145,232.05475155317131,0.0019494117355615126,270.1283451062621,0.0022377250052534325,274.2332657764301,0.003296938367215896
294,2.6480055815082517,3.367636052458637,0.00787412419634459,255.92468013577906,0.0031902784950409713,246.95557430420436,0.00787412419634459,232.39941982147744,0.005589760945044708,268.12604218657054,0.0025000698165129343
295,2.632230537341628,3.299088665732487,0.013059248142788915,252.8299911006271,0.013059248142788915,248.75183576018821,0.006292182832028703,244.3824780277545,0.008945823782087414,293.07671029615204,0.004190125692726032
296,2.673479089427249,3.4625162220295453,0.009679417391017076,272.4079985511299,0.007148818913653487,255.80694468596565,0.005052721105863189,247.2834908507191,0.009679417391017076,296.34939863772,0.009608766853140716
297,2.6542839718951106,3.2444875191986053,0.014077077943615679,261.5194550690605,0.005058342385098835,233.32219776124143,0.0031495804577319486,222.63383660837079,0.011755374193807344,286.10204337786575,0.014077077943615679
298,2.6473608918594014,3.3766045527066897,0.01667804581964971,281.6814145896228,0.00800004007125088,219.92786046801385,0.01362903929674536,252.59872555709006,0.003762727804234367,283.6277981970322,0.01667804581964971
299,2.6896164818196837,3.634081615073593,0.007812763564814085,296.270926859402,0.006288927453005022,255.96870510472598,0.005457685892061082,243.00083913681897,0.007812763564814085,269.59212640875,0.004595039883061647
300,2.673726618191494,3.761547464457475,0.011163756047791296,272.1013388036545,0.004207237767172578,237.18088498653518,0.009470466296213842,261.4468495812,0.00618092765299183,297.8347421879601,0.011163756047791296
301,2.6579819511402674,3.390582723545144,0.01031982248981722,248.6133011987371,0.0056635627103952535,256.46915270242044,0.01031982248981722,264.28213560588415,0.00750787133644637,289.73443173083143,0.0022802405231615586
302,2.667871683473499,3.539677569083495,0.007675171875548004,271.5098801777749,0.0026502763375326754,232.24827969589668,0.007675171875548004,238.09096443481315,0.003070974352722522,297.0424882362748,0.005620809222078749
303,2.650649888468306,3.39246581214005,0.007989578214106396,254.07701973841088,0.00673417301662893,232.82164646018867,0.005291180835658604,252.0596698900272,0.004634609125915068,268.95019100371104,0.007989578214106396
304,2.665410951760781,3.5471834803632567,0.005238379165561802,275.7473785226952,0.005238379165561802,246.30584306007427,0.0022281539865328936,238.6278169762083,0.0035204449212167255,277.08346964636496,0.0016652624664685867
305,2.664681811320277,3.57656892325261,0.008857311276786795,274.4958255885676,0.005335214322428172,250.57958340458478,0.008532939657718619,243.92452982086303,0.008857311276786795,298.0885866533633,0.003948685483413705
306,2.6839354482193194,3.5902903578888257,0.007077303033267535,276.65649797737274,0.0036681359999117813,261.70595816805286,0.005312520313182856,238.48449631436947,0.007077303033267535,268.4695337899422,0.006268603628487024
307,2.6460552839501412,3.5533127413128542,0.004692279891507334,271.327858485929,0.004692279891507334,224.8428844333004,0.004209418950074095,243.33912536920468,0.003431362372704083,263.3995073538445,0.0031847775680148294
308,2.665726638449234,3.805217832278408,0.00485418267272264,272.1404292681946,0.0033296564827800523,245.8929060306718,0.00485418267272264,251.2336257684037,0.0031209845662979463,301.4303710228266,0.0033575188672442247
309,2.680673257290219,3.837939722919429,0.006143895361680363,302.0993642719077,0.0032987216588501456,242.08827656373637,0.0024223107250726517,268.9694496103933,0.006143895361680363,280.7649726750819,0.003301038198967654
310,2.6047951346849625,3.063976253246636,0.008357855360035249,237.76241273978835,0.007491497590595753,225.6599311302659,0.005608152630913521,217.57170204678383,0.008357855360035249,285.3865516389767,0.006638636457630742
311,2.649908427855095,3.392396183932343,0.011074809031928035,252.38123254869362,0.009581902429632416,258.430836687238,0.0019157818360562295,237.24576416179724,0.002816793705935239,299.562490604546,0.011074809031928035
312,2.6689767404294056,3.510934060852799,0.006138706776338432,279.89717101500355,0.0014239630670970227,249.8442631830242,0.003684157138503341,237.18530983951388,0.00592630309325215,290.11817676872556,0.006138706776338432
313,2.633273352158164,3.2907742457498768,0.012411774307695356,266.93865793095483,0.0067101391792945275,232.99241705664983,0.0016481308392777005,250.71945086931143,0.012411774307695356,255.3019528260358,0.0035225085961386737
314,2.6517900687658473,3.427638506346653,0.010748840083008138,254.02078110564756,0.00386613713105477,238.41881215944989,0.002035607735175776,228.2200093893744,0.010748840083008138,255.20272998291202,0.007043672467324957
315,2.6438073940750804,3.233823910172386,0.005995736854052969,243.6174023795367,0.0029474694222018094,241.15094769113693,0.0025934104097989352,234.39779404354806,0.005226522155340141,291.0823247093841,0.005995736854052969
316,2.667633749783819,3.1864371066846404,0.01018665042938982,250.67171842430153,0.003317618395631272,237.10394624333154,0.005169178546482689,228.51136645650854,0.006167738552876001,289.6566460505743,0.01018665042938982
317,2.654673666252539,3.2386637475704583,0.02148972959873019,262.1508321632739,0.006408737388121755,281.0138221310496,0.02148972959873019,245.6823192853946,0.0035142568924365625,241.27172857357482,0.02131575430722943
