replicate,xmin,gof_xmin,alpha,beta,maximum_centered_ks,scale_ts_512,centered_ks_ts_512,scale_ts_1024,centered_ks_ts_1024,scale_ts_4096,centered_ks_ts_4096,scale_ts_8192,centered_ks_ts_8192
94,29,29,2.5320162191658833,2.3539859304084247,0.0073444547131611415,255.05588911915558,0.005344444829444073,207.73824262119845,0.006949760485498335,210.61742509848077,0.0071359860426836175,254.50979708589514,0.0073444547131611415
95,29,29,2.592702571707248,2.662153674922358,0.013578788894620275,249.4080134108077,0.01101333091942569,219.0661118872746,0.009089838821791929,217.9440465517797,0.013355083458896522,241.41041461627154,0.013578788894620275
96,29,29,2.4716551998019134,2.3686416815853053,0.016036712552822685,217.28687359614764,0.0071550409248538616,215.76054983506714,0.016036712552822685,177.15221163631256,0.006369477326201939,204.16076583535894,0.01462165076325228
97,29,29,2.552244485614088,2.596575805378668,0.011265625836300641,248.53357167747802,0.0069740398703462825,225.37275625316025,0.011265625836300641,220.45926034079253,0.010896732216049698,248.58116140299612,0.006872649923049645
98,29,29,2.54014980502794,2.55383466558517,0.010647242950013791,246.12579206040334,0.010647242950013791,219.8822748926786,0.008141366371311687,207.86547319234592,0.008575046686046472,255.71520102111245,0.007106640799331654
99,29,29,2.5173760727643315,2.439369602670533,0.013184504534131447,226.16288061125567,0.010277664374032214,211.006691521584,0.00505903028345267,219.36117279036722,0.013184504534131447,214.62198953043915,0.007843126543298773
100,29,29,2.549975884564669,2.6751279598287314,0.013523031485513592,246.74373008543006,0.0068455656985181995,217.1989862606959,0.013523031485513592,209.12815098099966,0.006754092700900327,272.57865882905156,0.013230879609790525
101,29,29,2.5357773790434006,2.4872188653792313,0.012458064145400849,235.31283393236575,0.006448290295021586,218.89141984176413,0.007006699210085343,185.69381616207377,0.010407179174990233,243.43033086839884,0.012458064145400849
102,29,29,2.536372217101661,2.6194127296163825,0.012899853499145575,238.17070103030136,0.006948904762990371,218.12736906959304,0.008794445179987398,228.48345437981695,0.0042962779833110865,252.64466492181285,0.012899853499145575
103,29,29,2.5744666010187647,2.4830669049727216,0.021360543150791167,254.47671365042373,0.011856779711633791,215.50800173708097,0.021360543150791167,206.14257747325698,0.004700767571680697,253.46838122598274,0.007291806700943093
104,29,29,2.4583595660218625,2.34465798457953,0.009655339809303554,221.40391430242732,0.003913002731227133,197.28475084663893,0.005142331682195189,203.52802760167106,0.009655339809303554,226.96966466853218,0.009371371023094766
105,29,29,2.5578819016566436,2.7152954771656503,0.023738827983006805,266.26265778492046,0.015145318136302821,224.90181036634146,0.009481207114099277,218.05715989866226,0.008859816594988246,235.75436147220867,0.023738827983006805
106,29,29,2.5273785306010135,2.4544580465387815,0.012547450879426103,237.79135661538928,0.012300754692098015,211.48763292403652,0.012547450879426103,197.9736736376994,0.0036220330225467112,243.3761443587744,0.004245665483624594
107,29,29,2.5586514216691336,2.2643698952338545,0.011520850014322681,231.93576120911683,0.008392727645223363,197.78064957016494,0.011520850014322681,213.90634074638265,0.005209193003751222,262.3201119164023,0.007695667397934244
108,29,29,2.595184075993355,2.87112167009603,0.007274734217962764,268.16574802658107,0.007274734217962764,231.11177272495323,0.006314113852223802,226.91635373242755,0.005250692349633823,253.08922996988488,0.007237895571642672
109,29,29,2.498057102438111,2.4567536213220764,0.012887902694116882,244.1717161622093,0.005682716097796636,216.06293745977464,0.010161256510857308,207.62641528133554,0.012887902694116882,244.7494855162792,0.009299880153437523
110,29,29,2.4427027538326334,2.3483596921172154,0.011123409579231414,203.4747032897248,0.006474719098190862,203.77986937534297,0.00645297097892461,201.2144647788664,0.006190079566339379,231.38149316014932,0.011123409579231414
111,29,29,2.511598218460252,2.5663335655617234,0.011514295173448597,234.87369874323826,0.005265520571449134,214.7267086468045,0.007840643619726695,207.6807317106956,0.005893220812260541,236.11138858226036,0.011514295173448597
112,29,29,2.5449975486784577,2.3880568933374824,0.01571134918075423,232.34798458066803,0.0069619814672007285,232.51229434907233,0.010331337652292993,211.8556261239296,0.008938182241993775,238.87448111811688,0.01571134918075423
113,29,29,2.5341208335629926,2.7982473586893684,0.016086351589432668,224.88169028238502,0.005959027551273255,212.80276069423178,0.013276694741544803,229.0598861440405,0.016086351589432668,232.2717558012978,0.008688351601006117
