ts,model,model_label,xmin,n_total,n_tail,tail_fraction,maximum_size,scaling_decades,parameter_count,log_likelihood,aic,bic,ks,block_gof_p,block_gof_exceedances,block_gof_replicates,block_gof_mc_ci_low,block_gof_mc_ci_high,adequate_at_0_10,lambda,lambda_ci_low,lambda_ci_high,alpha,alpha_ci_low,alpha_ci_high,mu,sigma,mu_ci_low,mu_ci_high,sigma_ci_low,sigma_ci_high,scale,beta,scale_ci_low,scale_ci_high,beta_ci_low,beta_ci_high
128,lognormal,lognormal,22,39404004,29047,0.0007371585892641773,484,1.3424226808222062,2,-118821.93709327481,237647.87418654963,237664.42752752308,0.011007492295462273,0.001,0,999,0.0,0.003685762865739383,False,,,,,,,1.2617030031094787,1.2799689461452142,0.6752333671395615,1.7087617323707989,1.179579603413496,1.395634939034484,,,,,,
128,stretched_cutoff_power_law,potência + corte estendido,22,39404004,29047,0.0007371585892641773,484,1.3424226808222062,3,-118719.62778805435,237445.2555761087,237470.08558756887,0.002588536285944021,0.828,827,999,0.8029598657162204,0.8507458223260516,True,,,,2.4700270394689676,2.322554548958969,2.5741781090628684,,,,,,,236.82293309114755,2.4613062490527358,194.29354597444797,262.34040942909405,1.812090774048017,3.2787984759309525
512,exponential,exponencial,8,39860756,140741,0.003530816124009289,401,1.7000543856282386,1,-455937.5891386166,911877.1782772331,911887.0329538339,0.16479480465746366,0.001,0,999,0.0,0.003685762865739383,False,0.10655674449429606,0.10287639340032172,0.11092747303866163,,,,,,,,,,,,,,,
512,power_law,potência pura,8,39860756,140741,0.003530816124009289,401,1.7000543856282386,1,-432059.64981343166,864121.2996268633,864131.1543034641,0.005479513871405439,0.048,47,999,0.03477003706809729,0.06207421389024613,False,,,,2.7085806387430034,2.6727971935819874,2.7461813470799306,,,,,,,,,,,,
512,cutoff_power_law,potência + corte exponencial,8,39860756,140741,0.003530816124009289,401,1.7000543856282386,2,-431880.39783101226,863764.7956620245,863784.5050152261,0.004292716007140207,0.06,59,999,0.04525891958452844,0.0755239338131949,False,0.00346981734676852,0.002491420912585775,0.00468045484830887,2.595919675230836,2.538507239630428,2.65456741707701,,,,,,,,,,,,
512,lognormal,lognormal,8,39860756,140741,0.003530816124009289,401,1.7000543856282386,2,-431968.0851344808,863940.1702689616,863959.8796221631,0.004058245306982122,0.023,22,999,0.013851316084656902,0.03315262807753546,False,,,,,,,-11.07900469831575,2.8883581769957845,-20.42013904113528,-6.731174831133612,2.410884454049179,3.7083373957678205,,,,,,
512,stretched_cutoff_power_law,potência + corte estendido,8,39860756,140741,0.003530816124009289,401,1.7000543856282386,3,-431781.5971639855,863569.194327971,863598.7583577733,0.0019193712691430997,0.735,734,999,0.7061923597737596,0.7618863161069166,True,,,,2.6741426938329083,2.629868589854505,2.718395614622805,,,,,,,272.90258756011957,4.005489190690225,245.64263770856243,295.10118069132113,2.792201907804988,4.999999999999999
1024,exponential,exponencial,13,40302406,59811,0.001484055319178711,436,1.5255431369617494,1,-219667.05252395946,439336.1050479189,439345.1039927884,0.13874521891934066,0.001,0,999,0.0,0.003685762865739383,False,0.06908016120696833,0.065206116869518,0.07375102503962766,,,,,,,,,,,,,,,
1024,power_law,potência pura,13,40302406,59811,0.001484055319178711,436,1.5255431369617494,1,-213300.30604410562,426602.61208821123,426611.6110330807,0.013763441092135786,0.001,0,999,0.0,0.003685762865739383,False,,,,2.7205724318781472,2.65907135805676,2.79239906885048,,,,,,,,,,,,
1024,cutoff_power_law,potência + corte exponencial,13,40302406,59811,0.001484055319178711,436,1.5255431369617494,2,-213010.3721906621,426024.7443813242,426042.7422710632,0.006833112231774796,0.028,27,999,0.0178848653350389,0.03908058473576641,False,0.006343292678695996,0.004926433624193989,0.007902190213124303,2.4227588763601404,2.3049114213930135,2.538710289566423,,,,,,,,,,,,
1024,lognormal,lognormal,13,40302406,59811,0.001484055319178711,436,1.5255431369617494,2,-213100.42208861318,426204.84417722636,426222.84206696536,0.007918577476537902,0.003,2,999,0.0002425437526266696,0.007213033101571896,False,,,,,,,-1.9931303767675352,1.804402458999505,-4.030584167660682,-0.7360613657650902,1.603127285949971,2.096263104755486,,,,,,
1024,stretched_cutoff_power_law,potência + corte estendido,13,40302406,59811,0.001484055319178711,436,1.5255431369617494,3,-212946.4329756676,425898.8659513352,425925.8627859437,0.002330709257893804,0.809,808,999,0.7830271305133065,0.8327556190856095,True,,,,2.607283384414241,2.516569015271742,2.6977122133885816,,,,,,,230.32393745281033,2.820504607897645,203.89026001805618,257.5578872923647,2.192833662499676,3.5205740185927072
4096,exponential,exponencial,18,40292638,34734,0.0008620433340701097,406,1.353253528473888,1,-136617.44878077187,273236.89756154374,273245.353035857,0.11296686022940894,0.001,0,999,0.0,0.003685762865739383,False,0.05323014993657367,0.050490344687076624,0.05609669964959103,,,,,,,,,,,,,,,
4096,power_law,potência pura,18,40292638,34734,0.0008620433340701097,406,1.353253528473888,1,-134434.2307266031,268870.4614532062,268878.9169275195,0.025309918569678125,0.001,0,999,0.0,0.003685762865739383,False,,,,2.755190133077391,2.691686499069502,2.8164794588248494,,,,,,,,,,,,
4096,cutoff_power_law,potência + corte exponencial,18,40292638,34734,0.0008620433340701097,406,1.353253528473888,2,-134097.21922792002,268198.43845584005,268215.3494044667,0.007751711308602749,0.01,9,999,0.004127531251603552,0.017032746770250955,False,0.008864196368871652,0.006717470375299464,0.011478395828505166,2.2325305635490023,2.050634613190811,2.387968581318172,,,,,,,,,,,,
4096,lognormal,lognormal,18,40292638,34734,0.0008620433340701097,406,1.353253528473888,2,-134160.53606080989,268325.07212161977,268341.9830702464,0.011038533072336265,0.001,0,999,0.0,0.003685762865739383,False,,,,,,,0.6596845412142922,1.3552403948664393,-0.43980012182983064,1.3674512039825149,1.2011308267983087,1.5483324224104476,,,,,,
4096,stretched_cutoff_power_law,potência + corte estendido,18,40292638,34734,0.0008620433340701097,406,1.353253528473888,3,-134068.51162619176,268143.0232523835,268168.38967532344,0.002704651456356899,0.75,749,999,0.7216769267661975,0.776342158034774,True,,,,2.5323709513986508,2.350291441353884,2.657612132928278,,,,,,,210.8725739900434,2.3782452275370893,155.983784714347,250.38665634766247,1.614639736843259,3.316697986576817
8192,exponential,exponencial,21,39732807,24653,0.0006204696285364384,489,1.367089564389701,1,-101171.06287046499,202344.12574092997,202352.2383948059,0.10935842369697824,0.001,0,999,0.0,0.003685762865739383,False,0.04488195868578415,0.04278179823461617,0.047369658667679775,,,,,,,,,,,,,,,
8192,power_law,potência pura,21,39732807,24653,0.0006204696285364384,489,1.367089564389701,1,-99789.5237881068,199581.0475762136,199589.16023008953,0.02807014562462551,0.001,0,999,0.0,0.003685762865739383,False,,,,2.733638262688461,2.6766942061307346,2.8022483486561454,,,,,,,,,,,,
8192,cutoff_power_law,potência + corte exponencial,21,39732807,24653,0.0006204696285364384,489,1.367089564389701,2,-99509.14032881519,199022.28065763038,199038.5059653822,0.0077653861523801215,0.048,47,999,0.03477003706809729,0.06207421389024613,False,0.00833567743751694,0.006544673055156741,0.010398860772986062,2.1587191679126567,1.9997863047082378,2.3313601474689607,,,,,,,,,,,,
8192,lognormal,lognormal,21,39732807,24653,0.0006204696285364384,489,1.367089564389701,2,-99561.51060193853,199127.02120387706,199143.24651162888,0.011160376095303237,0.002,1,999,2.534283000048345e-05,0.005564476040714028,False,,,,,,,1.102640322212448,1.3028272037522521,0.19678843198760748,1.6912189504895598,1.1777102732625022,1.4773953665930186,,,,,,
8192,stretched_cutoff_power_law,potência + corte estendido,21,39732807,24653,0.0006204696285364384,489,1.367089564389701,3,-99484.86608053523,198975.73216107045,199000.0701226982,0.002627890501071428,0.901,900,999,0.8806735370332796,0.9187268437859741,True,,,,2.4838997471729476,2.322448385449733,2.622926697902942,,,,,,,232.37255222065463,2.377059003723909,185.53961016951664,269.4393227236241,1.7432659391027965,3.128847946617512
